BASE	ACTUAL	PREDICT	COUNTRY	REGION	DIVISION	PRODTYPE	PRODUCT	QUARTER	YEAR	MONTH	STATE	COUNTY	MONYR	DATE
1	$520.00	$629.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	3	1994	Sep				
1	$114.00	$491.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1994	Oct				
1	$277.00	$0.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1994	Nov				
1	$561.00	$979.00	CANADA	EAST	EDUCATION	FURNITURE	SOFA	4	1994	Dec				
1	$220.00	$585.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1993	Jan				
1	$444.00	$267.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1993	Feb				
1	$178.00	$487.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1993	Mar				
1	$756.00	$764.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1993	Apr				
1	$329.00	$312.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1993	May				
1	$910.00	$531.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1993	Jun				
1	$530.00	$536.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1993	Jul				
1	$101.00	$773.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1993	Aug				
1	$515.00	$143.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1993	Sep				
1	$730.00	$126.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1993	Oct				
1	$993.00	$862.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1993	Nov				
1	$954.00	$754.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1993	Dec				
1	$267.00	$410.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1994	Jan				
1	$347.00	$701.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1994	Feb				
1	$991.00	$204.00	CANADA	EAST	EDUCATION	FURNITURE	BED	1	1994	Mar				
1	$923.00	$509.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1994	Apr				
1	$437.00	$378.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1994	May				
1	$737.00	$507.00	CANADA	EAST	EDUCATION	FURNITURE	BED	2	1994	Jun				
1	$104.00	$49.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1994	Jul				
1	$840.00	$876.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1994	Aug				
1	$704.00	$66.00	CANADA	EAST	EDUCATION	FURNITURE	BED	3	1994	Sep				
1	$889.00	$819.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1994	Oct				
1	$107.00	$351.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1994	Nov				
1	$571.00	$201.00	CANADA	EAST	EDUCATION	FURNITURE	BED	4	1994	Dec				
1	$688.00	$209.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1993	Jan				
1	$544.00	$51.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1993	Feb				
1	$954.00	$135.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1993	Mar				
1	$445.00	$47.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1993	Apr				
1	$829.00	$379.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1993	May				
1	$464.00	$758.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1993	Jun				
1	$968.00	$475.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1993	Jul				
1	$842.00	$343.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1993	Aug				
1	$721.00	$507.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1993	Sep				
1	$966.00	$269.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1993	Oct				
1	$332.00	$699.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1993	Nov				
1	$328.00	$824.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1993	Dec				
1	$355.00	$497.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1994	Jan				
1	$506.00	$44.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1994	Feb				
1	$585.00	$522.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	1	1994	Mar				
1	$634.00	$378.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1994	Apr				
1	$662.00	$689.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1994	May				
1	$783.00	$90.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	2	1994	Jun				
1	$786.00	$720.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1994	Jul				
1	$710.00	$343.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1994	Aug				
1	$950.00	$457.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	3	1994	Sep				
1	$274.00	$947.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1994	Oct				
1	$406.00	$834.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1994	Nov				
1	$515.00	$71.00	CANADA	EAST	EDUCATION	OFFICE	TABLE	4	1994	Dec				
1	$35.00	$282.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1993	Jan				
1	$995.00	$538.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1993	Feb				
1	$670.00	$679.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1993	Mar				
1	$406.00	$601.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1993	Apr				
1	$825.00	$577.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1993	May				
1	$467.00	$908.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1993	Jun				
1	$709.00	$819.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1993	Jul				
1	$522.00	$687.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1993	Aug				
1	$688.00	$157.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1993	Sep				
1	$956.00	$111.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1993	Oct				
1	$129.00	$31.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1993	Nov				
1	$687.00	$790.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1993	Dec				
1	$877.00	$795.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1994	Jan				
1	$845.00	$379.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1994	Feb				
1	$425.00	$114.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	1	1994	Mar				
1	$899.00	$475.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1994	Apr				
1	$987.00	$747.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1994	May				
1	$641.00	$372.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	2	1994	Jun				
1	$448.00	$415.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1994	Jul				
1	$341.00	$955.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1994	Aug				
1	$137.00	$356.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	3	1994	Sep				
1	$235.00	$316.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1994	Oct				
1	$482.00	$351.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1994	Nov				
1	$678.00	$164.00	CANADA	EAST	EDUCATION	OFFICE	CHAIR	4	1994	Dec				
1	$240.00	$386.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1993	Jan				
1	$605.00	$113.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1993	Feb				
1	$274.00	$68.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1993	Mar				
1	$422.00	$885.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1993	Apr				
1	$763.00	$575.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1993	May				
1	$561.00	$743.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1993	Jun				
1	$339.00	$816.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1993	Jul				
1	$877.00	$203.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1993	Aug				
1	$192.00	$581.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1993	Sep				
1	$604.00	$815.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1993	Oct				
1	$55.00	$333.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1993	Nov				
1	$87.00	$40.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1993	Dec				
1	$942.00	$672.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1994	Jan				
1	$912.00	$23.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1994	Feb				
1	$768.00	$948.00	CANADA	EAST	EDUCATION	OFFICE	DESK	1	1994	Mar				
1	$951.00	$291.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1994	Apr				
1	$768.00	$839.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1994	May				
1	$978.00	$864.00	CANADA	EAST	EDUCATION	OFFICE	DESK	2	1994	Jun				
1	$20.00	$337.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1994	Jul				
1	$298.00	$95.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1994	Aug				
1	$193.00	$535.00	CANADA	EAST	EDUCATION	OFFICE	DESK	3	1994	Sep				
1	$336.00	$191.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1994	Oct				
1	$617.00	$412.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1994	Nov				
1	$709.00	$711.00	CANADA	EAST	EDUCATION	OFFICE	DESK	4	1994	Dec				
1	$5.00	$425.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1993	Jan				
1	$164.00	$215.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1993	Feb				
1	$422.00	$948.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1993	Mar				
1	$424.00	$544.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1993	Apr				
1	$854.00	$764.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1993	May				
1	$168.00	$446.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1993	Jun				
1	$8.00	$957.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1993	Jul				
1	$748.00	$967.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1993	Aug				
1	$682.00	$11.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1993	Sep				
1	$300.00	$110.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1993	Oct				
1	$672.00	$263.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1993	Nov				
1	$894.00	$215.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1993	Dec				
1	$944.00	$965.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1994	Jan				
1	$403.00	$423.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1994	Feb				
1	$596.00	$753.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	1	1994	Mar				
1	$481.00	$770.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1994	Apr				
1	$503.00	$263.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1994	May				
1	$126.00	$79.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	2	1994	Jun				
1	$721.00	$441.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1994	Jul				
1	$271.00	$858.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1994	Aug				
1	$721.00	$667.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	3	1994	Sep				
1	$157.00	$193.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1994	Oct				
1	$991.00	$394.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1994	Nov				
1	$499.00	$680.00	CANADA	EAST	CONSUMER	FURNITURE	SOFA	4	1994	Dec				
1	$284.00	$414.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1993	Jan				
1	$705.00	$770.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1993	Feb				
1	$737.00	$679.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1993	Mar				
1	$745.00	$7.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1993	Apr				
1	$633.00	$713.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1993	May				
1	$983.00	$851.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1993	Jun				
1	$591.00	$944.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1993	Jul				
1	$42.00	$130.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1993	Aug				
1	$771.00	$485.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1993	Sep				
1	$465.00	$23.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1993	Oct				
1	$296.00	$193.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1993	Nov				
1	$890.00	$7.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1993	Dec				
1	$312.00	$919.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1994	Jan				
1	$777.00	$768.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1994	Feb				
1	$364.00	$854.00	CANADA	EAST	CONSUMER	FURNITURE	BED	1	1994	Mar				
1	$601.00	$411.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1994	Apr				
1	$823.00	$736.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1994	May				
1	$847.00	$10.00	CANADA	EAST	CONSUMER	FURNITURE	BED	2	1994	Jun				
1	$490.00	$311.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1994	Jul				
1	$387.00	$348.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1994	Aug				
1	$688.00	$458.00	CANADA	EAST	CONSUMER	FURNITURE	BED	3	1994	Sep				
1	$650.00	$195.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1994	Oct				
1	$447.00	$658.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1994	Nov				
1	$91.00	$704.00	CANADA	EAST	CONSUMER	FURNITURE	BED	4	1994	Dec				
1	$197.00	$807.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1993	Jan				
1	$51.00	$861.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1993	Feb				
1	$570.00	$873.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1993	Mar				
1	$423.00	$933.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1993	Apr				
1	$524.00	$355.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1993	May				
1	$416.00	$794.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1993	Jun				
1	$789.00	$645.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1993	Jul				
1	$551.00	$700.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1993	Aug				
1	$400.00	$831.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1993	Sep				
1	$361.00	$800.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1993	Oct				
1	$189.00	$830.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1993	Nov				
1	$554.00	$828.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1993	Dec				
1	$585.00	$12.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1994	Jan				
1	$281.00	$501.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1994	Feb				
1	$629.00	$914.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	1	1994	Mar				
1	$43.00	$685.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1994	Apr				
1	$533.00	$755.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1994	May				
1	$882.00	$708.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	2	1994	Jun				
1	$790.00	$595.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1994	Jul				
1	$600.00	$32.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1994	Aug				
1	$148.00	$49.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	3	1994	Sep				
1	$237.00	$727.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1994	Oct				
1	$488.00	$239.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1994	Nov				
1	$457.00	$273.00	CANADA	EAST	CONSUMER	OFFICE	TABLE	4	1994	Dec				
1	$401.00	$986.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1993	Jan				
1	$181.00	$544.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1993	Feb				
1	$995.00	$182.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1993	Mar				
1	$120.00	$197.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1993	Apr				
1	$119.00	$435.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1993	May				
1	$319.00	$974.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1993	Jun				
1	$333.00	$524.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1993	Jul				
1	$923.00	$688.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1993	Aug				
1	$634.00	$750.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1993	Sep				
1	$493.00	$155.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1993	Oct				
1	$461.00	$860.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1993	Nov				
1	$304.00	$102.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1993	Dec				
1	$641.00	$425.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1994	Jan				
1	$992.00	$224.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1994	Feb				
1	$202.00	$408.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	1	1994	Mar				
1	$770.00	$524.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1994	Apr				
1	$202.00	$816.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1994	May				
1	$14.00	$515.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	2	1994	Jun				
1	$134.00	$793.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1994	Jul				
1	$977.00	$460.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1994	Aug				
1	$174.00	$732.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	3	1994	Sep				
1	$429.00	$435.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1994	Oct				
1	$514.00	$38.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1994	Nov				
1	$784.00	$616.00	CANADA	EAST	CONSUMER	OFFICE	CHAIR	4	1994	Dec				
1	$973.00	$225.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1993	Jan				
1	$511.00	$402.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1993	Feb				
1	$30.00	$697.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1993	Mar				
1	$895.00	$567.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1993	Apr				
1	$557.00	$231.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1993	May				
1	$282.00	$372.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1993	Jun				
1	$909.00	$15.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1993	Jul				
1	$276.00	$866.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1993	Aug				
1	$234.00	$452.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1993	Sep				
1	$479.00	$663.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1993	Oct				
1	$782.00	$982.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1993	Nov				
1	$755.00	$813.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1993	Dec				
1	$689.00	$523.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1994	Jan				
1	$496.00	$871.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1994	Feb				
1	$24.00	$511.00	CANADA	EAST	CONSUMER	OFFICE	DESK	1	1994	Mar				
1	$379.00	$819.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1994	Apr				
1	$441.00	$525.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1994	May				
1	$49.00	$13.00	CANADA	EAST	CONSUMER	OFFICE	DESK	2	1994	Jun				
1	$243.00	$694.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1994	Jul				
1	$295.00	$782.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1994	Aug				
1	$395.00	$839.00	CANADA	EAST	CONSUMER	OFFICE	DESK	3	1994	Sep				
1	$929.00	$461.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1994	Oct				
1	$997.00	$303.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1994	Nov				
1	$889.00	$421.00	CANADA	EAST	CONSUMER	OFFICE	DESK	4	1994	Dec				
1	$72.00	$421.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1993	Jan				
1	$926.00	$433.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1993	Feb				
1	$850.00	$394.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1993	Mar				
1	$826.00	$338.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1993	Apr				
1	$651.00	$764.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1993	May				
1	$854.00	$216.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1993	Jun				
1	$899.00	$96.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1993	Jul				
1	$309.00	$550.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1993	Aug				
1	$943.00	$636.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1993	Sep				
1	$138.00	$427.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1993	Oct				
1	$99.00	$652.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1993	Nov				
1	$270.00	$478.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1993	Dec				
1	$862.00	$18.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1994	Jan				
1	$574.00	$40.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1994	Feb				
1	$359.00	$453.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	1	1994	Mar				
1	$958.00	$987.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1994	Apr				
1	$791.00	$26.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1994	May				
1	$284.00	$101.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	2	1994	Jun				
1	$190.00	$969.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1994	Jul				
1	$527.00	$492.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1994	Aug				
1	$112.00	$263.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	3	1994	Sep				
1	$271.00	$593.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1994	Oct				
1	$643.00	$923.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1994	Nov				
1	$554.00	$146.00	CANADA	WEST	EDUCATION	FURNITURE	SOFA	4	1994	Dec				
1	$211.00	$305.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1993	Jan				
1	$368.00	$318.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1993	Feb				
1	$778.00	$417.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1993	Mar				
1	$808.00	$623.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1993	Apr				
1	$46.00	$761.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1993	May				
1	$466.00	$272.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1993	Jun				
1	$18.00	$988.00	CANADA	WEST	EDUCATION	FURNITURE	BED	3	1993	Jul				
1	$87.00	$821.00	CANADA	WEST	EDUCATION	FURNITURE	BED	3	1993	Aug				
1	$765.00	$962.00	CANADA	WEST	EDUCATION	FURNITURE	BED	3	1993	Sep				
1	$62.00	$615.00	CANADA	WEST	EDUCATION	FURNITURE	BED	4	1993	Oct				
1	$13.00	$523.00	CANADA	WEST	EDUCATION	FURNITURE	BED	4	1993	Nov				
1	$775.00	$806.00	CANADA	WEST	EDUCATION	FURNITURE	BED	4	1993	Dec				
1	$636.00	$586.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1994	Jan				
1	$458.00	$520.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1994	Feb				
1	$206.00	$908.00	CANADA	WEST	EDUCATION	FURNITURE	BED	1	1994	Mar				
1	$310.00	$30.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1994	Apr				
1	$813.00	$247.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1994	May				
1	$22.00	$647.00	CANADA	WEST	EDUCATION	FURNITURE	BED	2	1994	Jun				
1	$742.00	$55.00	CANADA	WEST	EDUCATION	FURNITURE	BED	3	1994	Jul				
