total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee
2756.19,0,0,0
4417.88,0,0,0
2021.54,0,0,0
833.02,0,0,0
1667.13,0,13.24,0
1371.13,0,0,0
595.96,0,0,0
9080.73,0,0,0
333.79,0,0,0
1831.89,0,0,0
965.59,0,0,0
134.29,0,0,0
1372.6,0,0,0
10922.91,0,0,0
947.91,0,0,0
2067.91,0,0,0
520.52,0,0,0
220.59,0,0,0
802.28,0,0,0
584.15,0,0,0
2878.87,0,0,0
5874.34,0,0,0
1429.11,0,0,0
953.66,0,0,0
428.66,0,0,0
1798.22,0,0,0
2671.53,70.12308852,1006.13,9.97
735.52,0,0,0
304.1,0,0,0
4002.72,0,0,0
303.48,0,0,0
5024.87,0,0,0
1938.22,0,0,0
142.5,0,0,0
33.4,0,0,0
759.23,0,0,0
1010.45,0,0,0
1147.62,0,0,0
1138.14,0,0,0
5981.58,0,0,0
446.04,0,0,0
2182.91,0,0,0
2112.78,0,0,0
252.7,0,0,0
385.58,0,0,0
4091.14,0,0,0
7432.12,0,0,0
10141.11,0,0,0
4108.19,0,0,0
1550.97,0,0,0
2212.78,0,0,0
306.88,0,10.29,0
2468.87,0,0,0
2879.94,0,0,0
1324.99,17.11,0,0
5720.02,0,0,0
7523.2,0,0,0
2685.51,0,0,0
441.89,0,0,0
388.81,0,0,0
2260.39,0,0,0
878.99,0,0,0
8741.82,0,0,0
1147.79,0,0,0
1076.57,0,0,0
552.47,0,0,0
3481.49,61.24709262,1226.97,12.1
2062.58,0,0,0
1262.24,0,0,0
518.1,0,0,0
1697.66,0,0,0
913.99,0,0,0
972.51,0,0,0
750,0,0,0
7603.25,0,1985.89,19.7257
470.15,0,0,0
2043.77,0,0,0
1438.82,0,274.71,2.627500002
2770.44,0,0,0
560.51,0,368.08,3.53
1495.33,0,0,0
6290.65,0,1616.47,281.3574
3186.84,0,0,0
5649.51,0,1832.08,309.7961
2517.39,0,0,0
1084.98,0,0,0
956.32,0,0,0
676.05,0,0,0
1316.07,0,0,0
347.64,0,0,0
1895.75,0,0,0
13538.49,0,0,0
5720.57,26.97544148,0,0
1305.52,0,0,0
2285.07,0,996.51,8.73
4279.19,0,0,0
1131.86,0,0,0
11604.34,0,0,0
2249.66,0,0,0
12227.14,0,0,0
15091.61,0,0,0
2780.28,0,0,0
1551.5,0,0,0
839.99,0,0,0
862.93,0,0,0
1214.02,0,0,0
2627.81,0,0,0
5607.24,0,2406.82,24.0682
9313.02,0,0,0
522.22,0,0,0
2781.86,0,0,0
3062.52,0,0,0
441.26,0,0,0
295.29,0,303.62,2.87
411.8,0,0,0
646.14,0,0,0
841.52,0,0,0
2260.66,0,0,0
1035.57,0,0,0
1901.78,0,0,0
8719.18,0,0,0
1885.91,0,1010.47,9.81
2281.39,0,0,0
2245.08,0,0,0
213.8,0,0,0
4285.69,0,0,0
950.73,0,0,0
6267.69,0,0,0
479.63,0,0,0
4320.2,0,0,0
6695.83,0,0,0
1463.88,0,0,0
783.23,0,0,0
5089.49,0,825.77,8.257699996
985.63,0,180.84,1.6108
6648.13,0,0,0
9749.39,0,0,0
1257.68,0,0,0
353.07,0,0,0
5928.29,0,22943.37,841.0068
4263.25,0,0,0
798.06,0,0,0
4746.62,0,1872.87,18.5362
38.32,0,0,0
345.95,0,0,0
22.34,0,0,0
2152.69,0,0,0
8549.95,0,0,0
5329.68,15.87,1007,9.9504
6607.4,0,0,0
12679.77,0,0,0
378.65,0,0,0
1166.9,0,0,0
208.12,0,0,0
5135.19,0,1875.53,337.8
7993.47,0,0,0
285.4,0,0,0
6037.57,0,0,0
972.45,0,0,0
9782.24,0,0,0
2620.33,0,0,0
828.84,15.30500586,0,0
1147.48,0,0,0
1445.56,0,0,0
1000.17,0,469.7,4.52
2572.28,0,0,0
3955.29,0,0,0
4396.03,0,0,0
13602.97,0,0,0
338.69,0,0,0
316.74,0,0,0
7977.16,21.73,0,0
756.71,0,13.75,0
3815.86,0,0,0
1508.68,0,0,0
458.68,0,0,0
12882.64,0,0,0
1516.18,0,0,0
11158.91,0,0,0
18888.39,0,0,0
5067.21,0,0,0
2452.4,0,0,0
1001.87,0,0,0
611.61,0,0,0
15617.03,0,2753.03,495.5454
6350.55,0,0,0
1173.72,0,0,0
3328.12,0,0,0
802.23,0,305.03,2.79
3837.1,0,0,0
875.43,0,0,0
2253.28,0,0,0
1805.27,0,15.41,0
1190.32,0,0,0
1667.87,0,0,0
7654.06,59.74781626,40.84,7.351199997
5238.04,0,1593.36,284.634
729.43,0,375.68,3.77
1899.85,0,0,0
4452.54,0,0,0
5559.54,0,0,0
1050.42,0,0,0
1459.42,0,641.84,6.65
1477.62,0,0,0
2510.29,0,0,0
606.77,0,0,0
3385.95,0,0,0
525.43,0,0,0
1678.14,0,0,0
420.03,0,142.4,1.424
2331.49,0,0,0
1538.32,0,0,0
2065.7,0,706.63,6.923899997
1903.88,0,0,0
7783.69,0,0,0
8450.48,0,0,0
6096.39,0,0,0
7147.54,0,0,0
908.37,0,0,0
1010.45,0,0,0
1783.77,0,0,0
1094.19,0,0,0
8560.82,0,0,0
2513.87,0,0,0
7124.65,0,0,0
736.34,0,0,0
3721.7,0,0,0
2770.02,0,0,0
3987.27,0,0,0
2283.93,0,0,0
1299.65,14.91465996,414.04,3.87
2178.15,0,0,0
573.56,0,0,0
1102.39,0,0,0
711.4,0,0,0
1360.56,0,0,0
4580.67,0,0,0
1811.28,0,0,0
2647.43,0,0,0
5306.81,0,0,0
1374.86,0,0,0
817.74,0,251.25,2.63
9265.61,0,1677.93,16.7793
2590.07,0,0,0
296.31,0,0,0
11147.5,61.4585002,0,0
10742.11,0,0,0
551.68,0,0,0
976.31,0,0,0
500.4,0,0,0
3253.15,21.18,0,0
1214.18,0,0,0
1903.78,0,0,0
3958.11,0,0,0
19035.08,0,0,0
3430.01,0,0,0
625.86,0,0,0
4141.01,0,0,0
2284.56,0,0,0
2416.27,0,0,0
1434.45,0,0,0
2325.39,0,0,0
367.26,0,0,0
12173.53,0,0,0
801.11,14.98932574,0,0
553.53,0,0,0
5679.03,0,0,0
2600.97,0,0,0
6790.87,0,0,0
435.9,0,0,0
689.67,0,0,0
4847.67,0,0,0
4578.36,0,0,0
1028.67,0,0,0
1544.4,0,0,0
2877.43,35.41121963,732.27,7.49
1236.02,0,0,0
4130.39,0,0,0
3912.98,0,0,0
1161.48,0,0,0
154.71,0,0,0
1028.33,0,0,0
951.99,0,0,0
2285.61,0,0,0
1354.9,0,14.03,0
2452.89,0,0,0
1200.33,0,0,0
7132.93,0,0,0
458.82,0,0,0
7778.58,0,0,0
10479.77,0,0,0
676.66,0,361.64,3.47
1564.2,0,0,0
838.92,0,0,0
1189.72,0,0,0
2199.85,0,0,0
3233.8,0,0,0
1931.97,0,0,0
359.08,14.9913253,227.3,2.41
2749.93,0,0,0
766.24,0,0,0
12260.83,0,0,0
2691.11,0,0,0
3907.03,0,0,0
2052.63,0,0,0
1559.28,0,0,0
1243.09,0,0,0
2108.99,0,0,0
6978.75,0,0,0
9175.12,0,0,0
503.06,0,0,0
2216.56,0,0,0
422.64,0,243.21,2.31
211.31,0,43.19,0.5
513.14,0,0,0
2524.33,0,0,0
904.93,0,0,0
1372.66,0,0,0
9218.99,0,0,0
1438.04,0,0,0
2856.09,0,0,0
1515.85,0,0,0
1973.69,0,0,0
1408.61,0,0,0
18180.15,0,0,0
1221.11,0,0,0
1452.01,14.98985872,0,0
3449.99,0,0,0
2201.53,0,0,0
3955.71,0,0,0
3597.92,0,20.55,0
5674.26,0,0,0
1000.37,0,0,0
2035.68,0,538.24,5.213399998
3733.48,0,0,0
7775.23,0,574.17,91.5678
1328.8,0,0,0
2788.68,0,0,0
1885.04,0,16.12,0
3189.51,0,0,0
1130.02,0,0,0
4360.75,0,0,0
3354.7,0,0,0
1468.31,0,0,0
3389.68,0,0,0
1491.39,0,0,0
540.75,0,0,0
1366.96,0,0,0
3785.85,0,0,0
2155.84,0,0,0
665.28,0,0,0
684.13,0,0,0
6324.14,0,26.52,0
493.15,0,0,0
2058.11,0,10.97,0
1668.68,0,0,0
1033.98,0,0,0
2505.15,0,0,0
4143.12,0,0,0
330.19,0,0,0
2284.19,0,0,0
1919.89,29.97647355,0,0
193.13,0,259.47,2.72
2111.43,0,0,0
268.97,0,0,0
6834.07,0,0,0
6130.48,0,2062.96,20.6296
209.15,0,0,0
1125.97,0,0,0
185.28,0,0,0
5885.42,0,0,0
8738.41,0,0,0
1729.68,0,10.4,0
2439.05,0,0,0
1308.59,0,0,0
183.61,0,75.71,0.72
3138.79,0,0,0
4182.73,14.9432703,808.2,141.048
2474.03,0,0,0
7639.31,24.94,1858.89,18.58890001
3260.75,0,0,0
250.99,0,0,0
3102.31,0,0,0
3090.32,0,0,0
2559.71,0,0,0
1071.88,0,0,0
1951.6,0,0,0
718.47,0,0,0
2766.88,0,1082.34,10.48
1410.68,14.94842716,0,0
1068.93,0,0,0
11207.29,0,0,0
918.39,0,0,0
317.06,0,254.99,2.54
19209.19,0,0,0
1352.06,0,0,0
6591.84,0,0,0
1241.17,0,0,0
2494.48,0,0,0
127.51,0,0,0
1104.81,0,0,0
882.62,0,0,0
11499.26,0,0,0
4183.26,0,0,0
2634.41,0,0,0
916.09,14.97364271,0,0
903.05,0,0,0
838.43,0,0,0
1407.93,0,0,0
900.99,0,0,0
9746.54,0,0,0
5653.19,0,2330.6,412.02
1332.99,0,0,0
8535.33,0,0,0
13783.77,0,3918.69,39.18690001
4298.6,0,0,0
1037.85,0,0,0
2418.19,0,0,0
8132.06,0,0,0
2707.94,0,0,0
2431.43,0,0,0
2706.22,0,0,0
10237.29,0,0,0
2203.76,0,1021.45,10.15
1949.65,0,0,0
2329.76,0,0,0
631.69,0,0,0
2274.4,0,0,0
5971.79,0,0,0
1255.25,0,0,0
12749.74,0,0,0
1912.19,29.58249439,0,0
3788.7,0,0,0
5089.4,0,0,0
6043.8,0,2158.39,388.5102
1147.69,0,0,0
931.88,0,0,0
461.47,0,0,0
905.04,0,0,0
2437.53,0,0,0
2706.4,0,0,0
5527.36,0,0,0
2331.89,0,0,0
2264.23,0,0,0
10944.26,0,0,0
3332.05,0,0,0
571.6,0,0,0
3466.88,0,932.41,8.97
6219,0,0,0
2667.77,0,0,0
2924.76,0,0,0
1298.35,0,0,0
3269.29,0,679.72,6.89
16307.96,0,0,0
4423.3,0,1019.16,9.97
3561.08,0,0,0
9269.97,0,1625.63,285.8274
1572.4,0,0,0
4006.73,0,0,0
14495.99,0,0,0
2180.39,0,0,0
11576.74,0,0,0
63.3,0,0,0
4435.46,19.29548525,1832.64,18.32639999
430.27,0,0,0
4319.23,42.68699442,1628.03,15.52
1102.69,0,0,0
160.17,0,0,0
627.21,0,0,0
1973.48,0,0,0
498.93,0,0,0
3584.75,0,1583.38,15.18
103.28,0,0,0
3143.41,0,0,0
672.64,0,0,0
721.61,0,0,0
782.44,0,390.9,3.81
276.26,0,59.76,0.68
2640.76,0,686.9,6.66
757.51,0,0,0
1202.09,29.96228571,0,0
501.17,0,98.65,1.1
1372.74,0,0,0
2166.91,0,0,0
5575.95,0,0,0
478.82,0,0,0
4779.16,0,0,0
7147.84,0,0,0
616.32,0,0,0
11642.6,0,0,0
2025.06,0,0,0
3690.86,0,1291.43,12.53
3065.65,0,0,0
3019.94,0,0,0
1082.8,0,0,0
3107.9,0,0,0
2802.71,0,0,0
6743.49,0,0,0
1214.78,0,0,0
1787.52,0,14.74,0
4414.85,0,0,0
4618.99,0,1137.4,204.732
4164.87,0,0,0
929.29,0,3536.57,333.5382
189.99,0,235.98,2.45
4762.42,0,0,0
3333.34,0,0,0
2774.27,0,0,0
1416.96,0,0,0
252.7,0,0,0
2690.03,0,0,0
5704.6,0,0,0
3822.37,0,0,0
216.37,0,0,0
7269.08,0,0,0
1770.79,0,0,0
25.59,0,0,0
959.14,0,0,0
857.58,0,0,0
5454.44,0,1331.6,12.83
707.76,0,0,0
1203.69,0,0,0
2653.41,0,0,0
1028.19,0,0,0
5684.29,0,0,0
1314.14,0,0,0
2717.83,0,0,0
454.49,0,0,0
2380.23,15.77700417,0,0
1159.91,0,0,0
1496.14,0,0,0
3697.09,0,0,0
2474.5,0,0,0
1212.25,0,0,0
150.68,0,0,0
1587.37,0,0,0
1530.37,0,0,0
429.03,0,0,0
4798.45,0,0,0
1969.81,0,2517.22,449.46
7732.77,0,0,0
1513.83,0,0,0
1000.93,0,0,0
6034.34,0,0,0
2729.04,0,18.98,0
543,0,0,0
2971.34,0,0,0
1369.39,0,0,0
388.25,0,0,0
2362.66,0,0,0
2092.25,14.97354994,0,0
212.27,0,0,0
608.32,0,0,0
10989.15,0,0,0
1441.72,0,0,0
1071.16,0,0,0
1075.96,0,0,0
845.44,14.98931744,0,0
2966.46,0,0,0
3846.09,0,0,0
4875.15,0,0,0
1180.22,0,0,0
850.36,0,0,0
3433.12,0,0,0
3678.13,0,1790.44,322.2792
299.08,0,0,0
2416.24,0,0,0
3154.62,23.57780089,950.2,9.28
5491.99,0,0,0
2038.84,0,0,0
715.01,0,0,0
1327.04,0,340.62,3.4062
3445.27,0,2984.53,533.9034
1758.27,26.72195195,659.56,6.54
3538.11,0,0,0
7036.12,0,0,0
2428.69,0,0,0
2054.37,0,0,0
598.72,0,0,0
1565.58,0,0,0
1119.12,0,0,0
652.1,0,0,0
771.9,15,0,0
822.55,15,0,0
1969.21,0,613.69,6.34
38.26,0,0,0
2309.07,0,0,0
526.1,0,0,0
1442.32,0,0,0
697.39,0,0,0
960.09,0,0,0
1197.98,0,0,0
3975.3,0,0,0
884.74,0,0,0
971.42,0,0,0
4428.79,0,0,0
9867.21,0,0,0
18332.05,0,0,0
274.52,0,472.44,85.0392
841.79,15,0,0
1049.2,15,0,0
929.89,0,0,0
3186.62,0,0,0
955.7,0,0,0
2736.45,0,12.41,0
403.04,0,0,0
2628.92,0,0,0
1161.99,0,0,0
1367.9,0,0,0
607.84,0,0,0
11957.06,0,3686.85,36.6408
478.19,0,0,0
144.69,0,0,0
379.07,0,0,0
882.68,0,0,0
2273.04,0,17.7,0
525.85,0,0,0
2885.67,0,586.53,5.626100002
3321.35,0,0,0
2378.65,0,0,0
4682.15,0,0,0
660.57,0,0,0
5185.64,0,0,0
812.9,15,0,0
190.98,0,0,0
6107.81,90.7709902,1842.26,18.03
703.26,0,0,0
2903.24,0,525.57,5.2557
930.32,0,69.4,0.694000002
2335.9,0,0,0
2688.19,0,0,0
2695.38,0,0,0
290.24,0,0,0
3118.18,0,888.26,8.39
602.76,0,0,0
3541.34,0,0,0
7140.06,0,0,0
6459.15,0,0,0
821.46,0,0,0
121.96,0,0,0
2490.42,0,0,0
512.85,0,0,0
2615.98,0,0,0
1826.67,0,0,0
5624.02,0,0,0
390.65,29.95689213,80.25,0.802500002
1926.02,0,0,0
619.03,0,0,0
1215.27,0,0,0
1138.4,0,0,0
5790.05,0,0,0
404.5,0,0,0
1832.94,0,0,0
21107.56,0,0,0
411.43,0,0,0
473.31,0,0,0
822.54,0,0,0
828.22,0,588.63,5.653099997
241.68,0,0,0
65.93,0,0,0
334.8,0,0,0
6855.05,0,0,0
985.64,0,0,0
967.13,0,0,0
3253.26,33.05949752,0,0
1038.26,14.97330056,0,0
516.85,0,0,0
976.48,0,0,0
752.32,0,0,0
4176.36,0,0,0
3363.14,0,0,0
3396.3,0,0,0
3725.87,0,0,0
2424.26,0,0,0
178.15,0,0,0
1207.03,0,0,0
368.75,0,0,0
947.53,0,0,0
2758.33,0,0,0
232.27,0,0,0
4523.26,0,0,0
1042.76,0,0,0
1171.73,0,0,0
744.73,15,0,0
3492.5,0,0,0
1489.59,0,0,0
280.23,0,0,0
335.96,0,0,0
521.35,0,0,0
2282.19,48.81690191,484.54,4.845400002
1511.85,0,0,0
1713.09,0,211.37,2.1137
572.01,0,280.36,2.803599999
4610.78,0,0,0
1918.21,0,0,0
164.93,0,0,0
487.99,0,0,0
796.48,0,0,0
711.8,0,0,0
3131.73,0,0,0
3115.06,0,0,0
3681.42,0,0,0
1217.4,0,0,0
808.89,0,0,0
404.64,0,0,0
1883.89,0,433.61,4.44
1124.59,0,0,0
11641.14,0,0,0
1595.63,0,0,0
1154.93,0,0,0
1026.47,0,0,0
9341.2,0,0,0
2433.38,0,0,0
1052.91,0,0,0
253.49,0,0,0
7668.26,0,68.72,12.3696
344.72,15,0,0
685.98,0,0,0
2017.73,0,0,0
3799.63,0,0,0
409.49,0,0,0
2907.15,0,4388.62,786.4128
4695.3,0,0,0
2777.17,0,0,0
8386.51,0,22.38,0
858.13,0,0,0
11138.27,0,0,0
3808.61,0,0,0
5032.3,0,0,0
2858.89,0,0,0
182.27,0,0,0
15996.5,0,0,0
334.63,0,0,0
906.03,0,0,0
2737.69,0,0,0
610.29,0,0,0
989.47,0,0,0
3295.91,0,0,0
3023.07,0,0,0
434.78,0,0,0
9093.75,0,0,0
3944.31,0,0,0
2069.52,0,0,0
4845.07,0,0,0
309.65,0,0,0
9119.72,0,0,0
220.78,0,0,0
1734.15,0,0,0
169.04,0,0,0
350.02,0,0,0
3770.9,0,1368.36,241.5906
1684.01,0,0,0
3782.99,0,0,0
13356.61,0,0,0
4297.79,0,0,0
914.31,0,0,0
523.05,0,0,0
7139.57,0,0,0
1109.85,0,0,0
1191.75,0,0,0
367.57,0,0,0
1010.69,0,0,0
583.2,0,0,0
2583.03,0,0,0
324.27,0,0,0
8154.15,0,0,0
3199.75,0,0,0
526.28,0,0,0
2291.95,0,0,0
2805.73,0,0,0
4516.28,0,0,0
5711.41,0,0,0
63.95,0,0,0
395.03,0,0,0
2905.87,0,0,0
102.31,0,0,0
366.46,0,0,0
848.76,0,0,0
3592.57,0,0,0
10374.82,0,0,0
956.37,0,0,0
525.4,0,0,0
105.68,0,0,0
10628.12,0,0,0
1579.37,0,0,0
1873.29,0,0,0
998.32,0,0,0
5777.82,0,0,0
793.84,0,0,0
944.49,14.9458926,317.28,57.1104
209.57,0,0,0
192.35,0,0,0
1239.62,0,0,0
6080.2,0,0,0
298.16,0,0,0
7624.28,0,0,0
1342.51,0,0,0
615.32,0,0,0
2036.67,0,0,0
804.76,0,0,0
394.1,0,0,0
1218.8,0,0,0
2110.37,0,0,0
928.7,0,0,0
2071.89,0,0,0
2048.27,0,0,0
360.87,0,0,0
38.93,0,0,0
673.24,0,0,0
1081.74,0,0,0
5654.86,0,0,0
1091.71,0,0,0
1029.06,0,0,0
873.59,0,0,0
4598,0,0,0
757.79,0,0,0
